Gene,Expression,Sex,Strain,Glands
Klkb1,50,Mal,CD1,Par
Klkb1,36,Mal,C57,Par
Klkb1,32,Mal,CD1,Par
Klkb1,21,Mal,C57,Par
Klkb1,19,Mal,CD1,Par
Klkb1,49,Mal,C57,Par
Klkb1,55,Fem,CD1,Par
Klkb1,40,Fem,C57,Par
Klkb1,45,Fem,CD1,Par
Klkb1,27,Fem,C57,Par
Klkb1,31,Fem,CD1,Par
Klkb1,37,Fem,C57,Par
Klkb1,58,Mal,CD1,SL
Klkb1,65,Mal,C57,SL
Klkb1,53,Mal,CD1,SL
Klkb1,42,Mal,C57,SL
Klkb1,45,Mal,CD1,SL
Klkb1,54,Mal,C57,SL
Klkb1,22,Fem,CD1,SL
Klkb1,46,Fem,C57,SL
Klkb1,49,Fem,CD1,SL
Klkb1,17,Fem,C57,SL
Klkb1,74,Fem,CD1,SL
Klkb1,23,Fem,C57,SL
Klkb1,11,Mal,CD1,SM
Klkb1,38,Mal,C57,SM
Klkb1,21,Mal,CD1,SM
Klkb1,39,Mal,C57,SM
Klkb1,47,Mal,CD1,SM
Klkb1,49,Mal,C57,SM
Klkb1,28,Fem,CD1,SM
Klkb1,38,Fem,C57,SM
Klkb1,39,Fem,CD1,SM
Klkb1,37,Fem,C57,SM
Klkb1,47,Fem,CD1,SM
Klkb1,21,Fem,C57,SM
Klkb1,10507,Mal,CD1,Liv
Klkb1,7096,Mal,C57,Liv
Klkb1,4073,Mal,CD1,Liv
Klkb1,6076,Mal,C57,Liv
Klkb1,6107,Mal,CD1,Liv
Klkb1,6085,Mal,C57,Liv
Klkb1,8472,Fem,CD1,Liv
Klkb1,7610,Fem,C57,Liv
Klkb1,9088,Fem,CD1,Liv
Klkb1,6309,Fem,C57,Liv
Klkb1,8493,Fem,CD1,Liv
Klkb1,7093,Fem,C57,Liv
Klkb1,57,Mal,CD1,Panc
Klkb1,42,Mal,C57,Panc
Klkb1,63,Mal,CD1,Panc
Klkb1,26,Mal,C57,Panc
Klkb1,17,Mal,CD1,Panc
Klkb1,42,Mal,C57,Panc
Klkb1,86,Fem,CD1,Panc
Klkb1,38,Fem,C57,Panc
Klkb1,80,Fem,CD1,Panc
Klkb1,20,Fem,C57,Panc
Klkb1,49,Fem,CD1,Panc
Klkb1,39,Fem,C57,Panc
Klk1b7-ps,7,Mal,CD1,Par
Klk1b7-ps,0,Mal,C57,Par
Klk1b7-ps,4,Mal,CD1,Par
Klk1b7-ps,4,Mal,C57,Par
Klk1b7-ps,7,Mal,CD1,Par
Klk1b7-ps,0,Mal,C57,Par
Klk1b7-ps,10,Fem,CD1,Par
Klk1b7-ps,2,Fem,C57,Par
Klk1b7-ps,2,Fem,CD1,Par
Klk1b7-ps,0,Fem,C57,Par
Klk1b7-ps,6,Fem,CD1,Par
Klk1b7-ps,0,Fem,C57,Par
Klk1b7-ps,32,Mal,CD1,SL
Klk1b7-ps,11,Mal,C57,SL
Klk1b7-ps,19,Mal,CD1,SL
Klk1b7-ps,474,Mal,C57,SL
Klk1b7-ps,45,Mal,CD1,SL
Klk1b7-ps,19,Mal,C57,SL
Klk1b7-ps,24,Fem,CD1,SL
Klk1b7-ps,21,Fem,C57,SL
Klk1b7-ps,26,Fem,CD1,SL
Klk1b7-ps,20,Fem,C57,SL
Klk1b7-ps,20,Fem,CD1,SL
Klk1b7-ps,10,Fem,C57,SL
Klk1b7-ps,1039,Mal,CD1,SM
Klk1b7-ps,1085,Mal,C57,SM
Klk1b7-ps,1311,Mal,CD1,SM
Klk1b7-ps,969,Mal,C57,SM
Klk1b7-ps,1092,Mal,CD1,SM
Klk1b7-ps,423,Mal,C57,SM
Klk1b7-ps,16,Fem,CD1,SM
Klk1b7-ps,35,Fem,C57,SM
Klk1b7-ps,9,Fem,CD1,SM
Klk1b7-ps,43,Fem,C57,SM
Klk1b7-ps,41,Fem,CD1,SM
Klk1b7-ps,38,Fem,C57,SM
Klk1b7-ps,10,Mal,CD1,Liv
Klk1b7-ps,5,Mal,C57,Liv
Klk1b7-ps,3,Mal,CD1,Liv
Klk1b7-ps,12,Mal,C57,Liv
Klk1b7-ps,1,Mal,CD1,Liv
Klk1b7-ps,0,Mal,C57,Liv
Klk1b7-ps,2,Fem,CD1,Liv
Klk1b7-ps,0,Fem,C57,Liv
Klk1b7-ps,0,Fem,CD1,Liv
Klk1b7-ps,0,Fem,C57,Liv
Klk1b7-ps,0,Fem,CD1,Liv
Klk1b7-ps,1,Fem,C57,Liv
Klk1b7-ps,11,Mal,CD1,Panc
Klk1b7-ps,13,Mal,C57,Panc
Klk1b7-ps,57,Mal,CD1,Panc
Klk1b7-ps,58,Mal,C57,Panc
Klk1b7-ps,8,Mal,CD1,Panc
Klk1b7-ps,22,Mal,C57,Panc
Klk1b7-ps,10,Fem,CD1,Panc
Klk1b7-ps,51,Fem,C57,Panc
Klk1b7-ps,0,Fem,CD1,Panc
Klk1b7-ps,80,Fem,C57,Panc
Klk1b7-ps,5,Fem,CD1,Panc
Klk1b7-ps,8,Fem,C57,Panc
Klk1b8,1379,Mal,CD1,Par
Klk1b8,1109,Mal,C57,Par
Klk1b8,380,Mal,CD1,Par
Klk1b8,885,Mal,C57,Par
Klk1b8,793,Mal,CD1,Par
Klk1b8,122,Mal,C57,Par
Klk1b8,284,Fem,CD1,Par
Klk1b8,27,Fem,C57,Par
Klk1b8,466,Fem,CD1,Par
Klk1b8,320,Fem,C57,Par
Klk1b8,1109,Fem,CD1,Par
Klk1b8,222,Fem,C57,Par
Klk1b8,1996,Mal,CD1,SL
Klk1b8,776,Mal,C57,SL
Klk1b8,1612,Mal,CD1,SL
Klk1b8,103103,Mal,C57,SL
Klk1b8,649,Mal,CD1,SL
Klk1b8,58,Mal,C57,SL
Klk1b8,1169,Fem,CD1,SL
Klk1b8,314,Fem,C57,SL
Klk1b8,577,Fem,CD1,SL
Klk1b8,291,Fem,C57,SL
Klk1b8,850,Fem,CD1,SL
Klk1b8,403,Fem,C57,SL
Klk1b8,147290,Mal,CD1,SM
Klk1b8,228215,Mal,C57,SM
Klk1b8,250798,Mal,CD1,SM
Klk1b8,205210,Mal,C57,SM
Klk1b8,112891,Mal,CD1,SM
Klk1b8,88789,Mal,C57,SM
Klk1b8,671,Fem,CD1,SM
Klk1b8,647,Fem,C57,SM
Klk1b8,831,Fem,CD1,SM
Klk1b8,1945,Fem,C57,SM
Klk1b8,1907,Fem,CD1,SM
Klk1b8,1789,Fem,C57,SM
Klk1b8,1339,Mal,CD1,Liv
Klk1b8,1052,Mal,C57,Liv
Klk1b8,1010,Mal,CD1,Liv
Klk1b8,1472,Mal,C57,Liv
Klk1b8,483,Mal,CD1,Liv
Klk1b8,88,Mal,C57,Liv
Klk1b8,4,Fem,CD1,Liv
Klk1b8,8,Fem,C57,Liv
Klk1b8,473,Fem,CD1,Liv
Klk1b8,137,Fem,C57,Liv
Klk1b8,1024,Fem,CD1,Liv
Klk1b8,3,Fem,C57,Liv
Klk1b8,1238,Mal,CD1,Panc
Klk1b8,1146,Mal,C57,Panc
Klk1b8,2207,Mal,CD1,Panc
Klk1b8,1315,Mal,C57,Panc
Klk1b8,1622,Mal,CD1,Panc
Klk1b8,298,Mal,C57,Panc
Klk1b8,231,Fem,CD1,Panc
Klk1b8,443,Fem,C57,Panc
Klk1b8,4,Fem,CD1,Panc
Klk1b8,613,Fem,C57,Panc
Klk1b8,918,Fem,CD1,Panc
Klk1b8,243,Fem,C57,Panc
Klk1b1,720,Mal,CD1,Par
Klk1b1,496,Mal,C57,Par
Klk1b1,354,Mal,CD1,Par
Klk1b1,331,Mal,C57,Par
Klk1b1,597,Mal,CD1,Par
Klk1b1,71,Mal,C57,Par
Klk1b1,319,Fem,CD1,Par
Klk1b1,61,Fem,C57,Par
Klk1b1,275,Fem,CD1,Par
Klk1b1,142,Fem,C57,Par
Klk1b1,597,Fem,CD1,Par
Klk1b1,119,Fem,C57,Par
