Gene,Expression,Sex,Strain,Glands
Klk1b1,1074,Mal,CD1,SL
Klk1b1,330,Mal,C57,SL
Klk1b1,753,Mal,CD1,SL
Klk1b1,32899,Mal,C57,SL
Klk1b1,492,Mal,CD1,SL
Klk1b1,39,Mal,C57,SL
Klk1b1,838,Fem,CD1,SL
Klk1b1,193,Fem,C57,SL
Klk1b1,306,Fem,CD1,SL
Klk1b1,173,Fem,C57,SL
Klk1b1,441,Fem,CD1,SL
Klk1b1,235,Fem,C57,SL
Klk1b1,59681,Mal,CD1,SM
Klk1b1,68265,Mal,C57,SM
Klk1b1,104286,Mal,CD1,SM
Klk1b1,64837,Mal,C57,SM
Klk1b1,60981,Mal,CD1,SM
Klk1b1,34636,Mal,C57,SM
Klk1b1,1549,Fem,CD1,SM
Klk1b1,363,Fem,C57,SM
Klk1b1,935,Fem,CD1,SM
Klk1b1,1494,Fem,C57,SM
Klk1b1,1556,Fem,CD1,SM
Klk1b1,1218,Fem,C57,SM
Klk1b1,692,Mal,CD1,Liv
Klk1b1,410,Mal,C57,Liv
Klk1b1,492,Mal,CD1,Liv
Klk1b1,580,Mal,C57,Liv
Klk1b1,231,Mal,CD1,Liv
Klk1b1,45,Mal,C57,Liv
Klk1b1,3,Fem,CD1,Liv
Klk1b1,12,Fem,C57,Liv
Klk1b1,196,Fem,CD1,Liv
Klk1b1,54,Fem,C57,Liv
Klk1b1,383,Fem,CD1,Liv
Klk1b1,4,Fem,C57,Liv
Klk1b1,556,Mal,CD1,Panc
Klk1b1,359,Mal,C57,Panc
Klk1b1,845,Mal,CD1,Panc
Klk1b1,450,Mal,C57,Panc
Klk1b1,763,Mal,CD1,Panc
Klk1b1,96,Mal,C57,Panc
Klk1b1,108,Fem,CD1,Panc
Klk1b1,153,Fem,C57,Panc
Klk1b1,7,Fem,CD1,Panc
Klk1b1,208,Fem,C57,Panc
Klk1b1,283,Fem,CD1,Panc
Klk1b1,54,Fem,C57,Panc
Klk1b9,5581,Mal,CD1,Par
Klk1b9,3704,Mal,C57,Par
Klk1b9,2445,Mal,CD1,Par
Klk1b9,2894,Mal,C57,Par
Klk1b9,3990,Mal,CD1,Par
Klk1b9,509,Mal,C57,Par
Klk1b9,1295,Fem,CD1,Par
Klk1b9,270,Fem,C57,Par
Klk1b9,2036,Fem,CD1,Par
Klk1b9,1136,Fem,C57,Par
Klk1b9,4208,Fem,CD1,Par
Klk1b9,947,Fem,C57,Par
Klk1b9,9831,Mal,CD1,SL
Klk1b9,2268,Mal,C57,SL
Klk1b9,7092,Mal,CD1,SL
Klk1b9,300905,Mal,C57,SL
Klk1b9,3726,Mal,CD1,SL
Klk1b9,375,Mal,C57,SL
Klk1b9,5502,Fem,CD1,SL
Klk1b9,1203,Fem,C57,SL
Klk1b9,2844,Fem,CD1,SL
Klk1b9,1498,Fem,C57,SL
Klk1b9,3125,Fem,CD1,SL
Klk1b9,1773,Fem,C57,SL
Klk1b9,420721,Mal,CD1,SM
Klk1b9,512710,Mal,C57,SM
Klk1b9,1078185,Mal,CD1,SM
Klk1b9,621098,Mal,C57,SM
Klk1b9,502032,Mal,CD1,SM
Klk1b9,278513,Mal,C57,SM
Klk1b9,15259,Fem,CD1,SM
Klk1b9,3351,Fem,C57,SM
Klk1b9,7357,Fem,CD1,SM
Klk1b9,12755,Fem,C57,SM
Klk1b9,15071,Fem,CD1,SM
Klk1b9,14026,Fem,C57,SM
Klk1b9,6708,Mal,CD1,Liv
Klk1b9,3449,Mal,C57,Liv
Klk1b9,4458,Mal,CD1,Liv
Klk1b9,5177,Mal,C57,Liv
Klk1b9,2427,Mal,CD1,Liv
Klk1b9,620,Mal,C57,Liv
Klk1b9,42,Fem,CD1,Liv
Klk1b9,66,Fem,C57,Liv
Klk1b9,1229,Fem,CD1,Liv
Klk1b9,505,Fem,C57,Liv
Klk1b9,2986,Fem,CD1,Liv
Klk1b9,22,Fem,C57,Liv
Klk1b9,4943,Mal,CD1,Panc
Klk1b9,3042,Mal,C57,Panc
Klk1b9,8293,Mal,CD1,Panc
Klk1b9,4055,Mal,C57,Panc
Klk1b9,8034,Mal,CD1,Panc
Klk1b9,680,Mal,C57,Panc
Klk1b9,690,Fem,CD1,Panc
Klk1b9,1290,Fem,C57,Panc
Klk1b9,70,Fem,CD1,Panc
Klk1b9,2082,Fem,C57,Panc
Klk1b9,2515,Fem,CD1,Panc
Klk1b9,586,Fem,C57,Panc
Klk1b11,4229,Mal,CD1,Par
Klk1b11,3356,Mal,C57,Par
Klk1b11,2207,Mal,CD1,Par
Klk1b11,2730,Mal,C57,Par
Klk1b11,4007,Mal,CD1,Par
Klk1b11,906,Mal,C57,Par
Klk1b11,1461,Fem,CD1,Par
Klk1b11,772,Fem,C57,Par
Klk1b11,1423,Fem,CD1,Par
Klk1b11,947,Fem,C57,Par
Klk1b11,3462,Fem,CD1,Par
Klk1b11,958,Fem,C57,Par
Klk1b11,9468,Mal,CD1,SL
Klk1b11,3148,Mal,C57,SL
Klk1b11,6332,Mal,CD1,SL
Klk1b11,201769,Mal,C57,SL
Klk1b11,4174,Mal,CD1,SL
Klk1b11,1790,Mal,C57,SL
Klk1b11,5189,Fem,CD1,SL
Klk1b11,2388,Fem,C57,SL
Klk1b11,3190,Fem,CD1,SL
Klk1b11,3287,Fem,C57,SL
Klk1b11,3373,Fem,CD1,SL
Klk1b11,1713,Fem,C57,SL
Klk1b11,200112,Mal,CD1,SM
Klk1b11,359716,Mal,C57,SM
Klk1b11,494524,Mal,CD1,SM
Klk1b11,289065,Mal,C57,SM
Klk1b11,398205,Mal,CD1,SM
Klk1b11,202037,Mal,C57,SM
Klk1b11,23525,Fem,CD1,SM
Klk1b11,4183,Fem,C57,SM
Klk1b11,13032,Fem,CD1,SM
Klk1b11,24761,Fem,C57,SM
Klk1b11,30617,Fem,CD1,SM
Klk1b11,28795,Fem,C57,SM
Klk1b11,4324,Mal,CD1,Liv
Klk1b11,2068,Mal,C57,Liv
Klk1b11,3122,Mal,CD1,Liv
Klk1b11,3520,Mal,C57,Liv
Klk1b11,1723,Mal,CD1,Liv
Klk1b11,408,Mal,C57,Liv
Klk1b11,120,Fem,CD1,Liv
Klk1b11,128,Fem,C57,Liv
Klk1b11,847,Fem,CD1,Liv
Klk1b11,438,Fem,C57,Liv
Klk1b11,1978,Fem,CD1,Liv
Klk1b11,75,Fem,C57,Liv
Klk1b11,3024,Mal,CD1,Panc
Klk1b11,2745,Mal,C57,Panc
Klk1b11,5515,Mal,CD1,Panc
Klk1b11,3271,Mal,C57,Panc
Klk1b11,5282,Mal,CD1,Panc
Klk1b11,885,Mal,C57,Panc
Klk1b11,782,Fem,CD1,Panc
Klk1b11,1213,Fem,C57,Panc
Klk1b11,137,Fem,CD1,Panc
Klk1b11,2122,Fem,C57,Panc
Klk1b11,1786,Fem,CD1,Panc
Klk1b11,944,Fem,C57,Panc
Klk1b26,0,Mal,CD1,Par
Klk1b26,2,Mal,C57,Par
Klk1b26,0,Mal,CD1,Par
Klk1b26,0,Mal,C57,Par
Klk1b26,0,Mal,CD1,Par
Klk1b26,0,Mal,C57,Par
Klk1b26,0,Fem,CD1,Par
Klk1b26,0,Fem,C57,Par
Klk1b26,0,Fem,CD1,Par
Klk1b26,0,Fem,C57,Par
Klk1b26,0,Fem,CD1,Par
Klk1b26,0,Fem,C57,Par
Klk1b26,0,Mal,CD1,SL
Klk1b26,0,Mal,C57,SL
Klk1b26,0,Mal,CD1,SL
Klk1b26,4,Mal,C57,SL
Klk1b26,0,Mal,CD1,SL
Klk1b26,0,Mal,C57,SL
Klk1b26,0,Fem,CD1,SL
Klk1b26,0,Fem,C57,SL
Klk1b26,1,Fem,CD1,SL
Klk1b26,2,Fem,C57,SL
Klk1b26,0,Fem,CD1,SL
Klk1b26,0,Fem,C57,SL
Klk1b26,10,Mal,CD1,SM
Klk1b26,11,Mal,C57,SM
Klk1b26,17,Mal,CD1,SM
Klk1b26,14,Mal,C57,SM
Klk1b26,13,Mal,CD1,SM
Klk1b26,19,Mal,C57,SM
Klk1b26,1,Fem,CD1,SM
Klk1b26,0,Fem,C57,SM
Klk1b26,0,Fem,CD1,SM
Klk1b26,5,Fem,C57,SM
Klk1b26,1,Fem,CD1,SM
Klk1b26,4,Fem,C57,SM
Klk1b26,0,Mal,CD1,Liv
Klk1b26,0,Mal,C57,Liv
Klk1b26,0,Mal,CD1,Liv
Klk1b26,0,Mal,C57,Liv
Klk1b26,0,Mal,CD1,Liv
Klk1b26,0,Mal,C57,Liv
Klk1b26,0,Fem,CD1,Liv
Klk1b26,0,Fem,C57,Liv
Klk1b26,0,Fem,CD1,Liv
Klk1b26,0,Fem,C57,Liv
Klk1b26,0,Fem,CD1,Liv
Klk1b26,0,Fem,C57,Liv
Klk1b26,0,Mal,CD1,Panc
Klk1b26,0,Mal,C57,Panc
Klk1b26,0,Mal,CD1,Panc
Klk1b26,0,Mal,C57,Panc
Klk1b26,1,Mal,CD1,Panc
Klk1b26,0,Mal,C57,Panc
Klk1b26,0,Fem,CD1,Panc
Klk1b26,0,Fem,C57,Panc
Klk1b26,0,Fem,CD1,Panc
Klk1b26,0,Fem,C57,Panc
Klk1b26,0,Fem,CD1,Panc
Klk1b26,0,Fem,C57,Panc
Klk1b27,1528,Mal,CD1,Par
Klk1b27,871,Mal,C57,Par
Klk1b27,491,Mal,CD1,Par
Klk1b27,591,Mal,C57,Par
Klk1b27,902,Mal,CD1,Par
Klk1b27,137,Mal,C57,Par
Klk1b27,373,Fem,CD1,Par
Klk1b27,111,Fem,C57,Par
Klk1b27,359,Fem,CD1,Par
Klk1b27,213,Fem,C57,Par
Klk1b27,969,Fem,CD1,Par
Klk1b27,245,Fem,C57,Par
Klk1b27,1890,Mal,CD1,SL
Klk1b27,512,Mal,C57,SL
Klk1b27,1605,Mal,CD1,SL
Klk1b27,62654,Mal,C57,SL
Klk1b27,727,Mal,CD1,SL
Klk1b27,110,Mal,C57,SL
Klk1b27,929,Fem,CD1,SL
Klk1b27,250,Fem,C57,SL
Klk1b27,652,Fem,CD1,SL
Klk1b27,320,Fem,C57,SL
Klk1b27,680,Fem,CD1,SL
Klk1b27,267,Fem,C57,SL
Klk1b27,94637,Mal,CD1,SM
Klk1b27,137883,Mal,C57,SM
Klk1b27,260363,Mal,CD1,SM
Klk1b27,124281,Mal,C57,SM
Klk1b27,109463,Mal,CD1,SM
Klk1b27,38517,Mal,C57,SM
Klk1b27,1273,Fem,CD1,SM
Klk1b27,743,Fem,C57,SM
Klk1b27,610,Fem,CD1,SM
Klk1b27,1147,Fem,C57,SM
Klk1b27,1547,Fem,CD1,SM
Klk1b27,1172,Fem,C57,SM
Klk1b27,1405,Mal,CD1,Liv
Klk1b27,608,Mal,C57,Liv
Klk1b27,1126,Mal,CD1,Liv
Klk1b27,1054,Mal,C57,Liv
Klk1b27,390,Mal,CD1,Liv
Klk1b27,82,Mal,C57,Liv
Klk1b27,8,Fem,CD1,Liv
Klk1b27,6,Fem,C57,Liv
Klk1b27,268,Fem,CD1,Liv
Klk1b27,65,Fem,C57,Liv
Klk1b27,601,Fem,CD1,Liv
Klk1b27,6,Fem,C57,Liv
Klk1b27,1224,Mal,CD1,Panc
Klk1b27,567,Mal,C57,Panc
Klk1b27,1813,Mal,CD1,Panc
Klk1b27,977,Mal,C57,Panc
Klk1b27,1683,Mal,CD1,Panc
Klk1b27,202,Mal,C57,Panc
Klk1b27,132,Fem,CD1,Panc
Klk1b27,266,Fem,C57,Panc
Klk1b27,8,Fem,CD1,Panc
Klk1b27,685,Fem,C57,Panc
Klk1b27,477,Fem,CD1,Panc
Klk1b27,138,Fem,C57,Panc
